GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
32.3106961551,118.3412804656,32.3087284484,118.3467092566,32.314828,118.353226,安徽省滁州市琅琊区,-,滁州申城金域豪庭
32.3180503938,118.3115602826,32.3160239695,118.3169354295,32.322386,118.323379,安徽省滁州市琅琊区大成路,-,滁州金叶一村
32.2591375158,118.3105400602,32.2571142865,118.3159098426,32.263467,118.322318,安徽省滁州市琅琊区,-,滁州文昌花园
32.2991783073,118.3012789309,32.2971378323,118.3066379845,32.303408,118.313102,安徽省滁州市琅琊区乐园巷10号,-,滁州安居苑
32.2957023072,118.2949249309,32.2936618323,118.3002839845,32.299932,118.306748,安徽省滁州市琅琊区,-,滁州深秀园小区
32.2977648418,118.334476834,32.2957969178,118.339905625,32.301896,118.346418,安徽省滁州市琅琊区,-,滁州创业中苑
32.3146882636,118.3012830352,32.3126482389,118.3066474532,32.318918,118.31311,安徽省滁州市琅琊区西涧路103号,-,滁州金色河畔
32.2449036945,118.3314599869,32.2429210748,118.3368673203,32.249172,118.343299,安徽省滁州市琅琊区醉翁东路,-,滁州北京城建·珑熙庄园
32.2679228846,118.3111437246,32.2658998783,118.316513507,32.272253,118.322929,安徽省滁州市琅琊区双拥路33号,-,滁州清流警苑
32.2912016881,118.3051001507,32.2891793509,118.3104752976,32.295537,118.316915,安徽省滁州市琅琊区凤凰西路,-,滁州凤凰湖畔
32.3055725853,118.2996545481,32.3035323356,118.3050136017,32.309803,118.311482,安徽省滁州市琅琊区,-,滁州碧桂园皖投中央名邸
32.2976556881,118.3068091507,32.2956333509,118.3121842976,32.301991,118.318624,安徽省滁州市琅琊区农科巷22号,-,滁州竹锦佳园
32.2496706945,118.3280459869,32.2476880748,118.3334533203,32.253939,118.339885,安徽省滁州市琅琊区,-,滁州滁州世界贸易广场
0,0,0,0,0,0,-,-,滁州珠江琅琊天下
32.2981843342,118.3248163726,32.2961982725,118.3302290704,32.302458,118.336695,安徽省滁州市琅琊区,-,滁州紫薇园
32.2660921125,118.3495279225,32.2641416812,118.3549728068,32.270052,118.361507,安徽省滁州市琅琊区,-,滁州龙山小区
32.3078011133,118.3137148153,32.305792601,118.3191060554,32.312152,118.325553,安徽省滁州市琅琊区天长东路154-3,-,滁州新苑小区
